n_focals,k_add,cond,xeu,n_p,n_a,n_t,n_fod,n_focals2,belg_size,belg_time,proper_belg,dt_ok,dt_size,dt_time,dt_max_lg,ct_ok,ct_size,ct_time,ct_max_lg,tt_ok,tt_size,tt_time,tt_max_lg
5,3,dempster,TBEU,3,3;2;2,2,7,4,288,0.000505,True,None,2832,0.040648,6,None,1908,0.023483,5,None,252,0.002647,3,
5,3,dempster,TBEU,3,3;2;2,3,11,5,972,0.000719,True,None,9792,0.132219,7,None,3312,0.031425,5,None,396,0.003345,3,
5,3,dempster,TBEU,3,3;2;2,3,11,5,972,0.000694,True,None,8664,0.117286,7,None,3240,0.031939,5,None,396,0.003304,3,
5,3,dempster,TBEU,3,2;3;2,2,6,5,288,0.000438,True,None,3072,0.041099,6,None,2712,0.028291,5,None,216,0.001945,3,
5,3,dempster,TBEU,3,2;3;2,2,7,5,288,0.000454,True,None,2808,0.039809,6,None,2868,0.028830,5,None,252,0.001994,3,
5,3,dempster,TBEU,3,2;3;2,3,14,5,972,0.000699,True,None,4752,0.069913,6,None,3552,0.037740,6,None,504,0.004107,3,
5,3,dempster,TBEU,3,2;3;2,3,13,5,972,0.000707,True,None,15216,0.201966,8,None,2604,0.023566,5,None,468,0.003746,3,
5,3,dempster,TBEU,3,3;3;2,2,7,5,432,0.000450,True,None,6048,0.082672,6,None,4986,0.053175,5,None,378,0.002736,3,
5,3,dempster,TBEU,3,3;3;2,2,8,5,432,0.000440,True,None,6912,0.097527,6,None,5580,0.054113,5,None,432,0.003291,3,
5,3,dempster,TBEU,3,3;3;2,3,12,5,1458,0.000707,True,None,37152,0.472441,8,None,5490,0.050205,5,None,648,0.004492,3,
5,3,dempster,TBEU,3,3;3;2,3,12,5,1458,0.000683,True,None,19008,0.249949,7,None,3546,0.033648,5,None,648,0.004580,3,
5,3,dempster,TBEU,3,2;2;3,2,6,5,288,0.000434,True,None,3816,0.051052,6,None,2292,0.023764,5,None,216,0.002218,3,
5,3,dempster,TBEU,3,2;2;3,2,7,5,288,0.000473,True,None,4320,0.055644,6,None,1692,0.015751,5,None,252,0.002147,3,
5,3,dempster,TBEU,3,2;2;3,3,11,5,972,0.000691,True,None,8784,0.120860,7,None,3192,0.031145,5,None,396,0.003358,3,
5,3,dempster,TBEU,3,2;2;3,3,12,5,972,0.000681,True,None,12024,0.157348,8,None,3288,0.034785,6,None,432,0.003736,3,
5,3,dempster,TBEU,3,3;2;3,2,6,5,432,0.000430,True,None,4968,0.066164,6,None,3078,0.031587,5,None,324,0.002331,3,
5,3,dempster,TBEU,3,3;2;3,2,7,5,432,0.000489,True,None,5724,0.074854,6,None,3546,0.036959,5,None,378,0.002965,3,
5,3,dempster,TBEU,3,3;2;3,3,12,5,1458,0.000777,True,None,7668,0.106585,6,None,6624,0.066775,6,None,648,0.005490,3,
5,3,dempster,TBEU,3,3;2;3,3,11,5,1458,0.000723,False,None,16524,0.227072,7,None,3996,0.042211,6,None,594,0.005193,3,
5,3,dempster,TBEU,3,2;3;3,2,7,5,432,0.000438,True,None,7182,0.103863,6,None,4230,0.041508,5,None,378,0.002779,3,
5,3,dempster,TBEU,3,2;3;3,2,7,5,432,0.000436,True,None,4320,0.060567,6,None,4302,0.044808,5,None,378,0.002734,3,
